nct_id,brief_title,overall_status,lead_sponsor,enrollment,last_update_date
NCT06158841,Study Assessing Activity of Intravenous (IV) Etentamig Monotherapy Versus Standard Available Therapies in Adult Participants With Relapsed or Refractory Multiple Myeloma,RECRUITING,AbbVie,380,2026-08-03
NCT06126276,Testing the Use of Neratinib or the Combination of Neratinib and Palbociclib Targeted Treatment for HER2+ Solid Tumors (A ComboMATCH Treatment Trial),RECRUITING,National Cancer Institute (NCI),70,2026-08-18
NCT06541704,A Study Investigating Subcutaneously Administered Pozelimab in Combination With Cemdisiran or Cemdisiran Alone in Adult Participants With Geographic Atrophy,RECRUITING,Regeneron Pharmaceuticals,975,2026-08-25
NCT05254743,A Study of Pirtobrutinib (LOXO-305) Versus Ibrutinib in Participants With Chronic Lymphocytic Leukemia (CLL)/Small Lymphocytic Lymphoma (SLL),RECRUITING,"Loxo Oncology, Inc.",737,2026-08-17
NCT05183035,Venetoclax in Children With Relapsed Acute Myeloid Leukemia (AML),RECRUITING,"PedAL BCU, LLC",130,2026-08-24
NCT06598397,"Using Multiphase Optimization Strategy (MOST) to Optimize a Cost-effective, Sustainable and Scalable Smoking Cessation Package for Smokers in HIV Clinical Care",RECRUITING,New York University,500,2026-04-13
NCT06811376,Pilot Trial of Spiritual Care Interventions for Patients With Cancer,RECRUITING,Weill Medical College of Cornell University,64,2026-03-25
NCT06651281,Extension Study of Long-term Safety and Efficacy of Tulisokibart in Participants With Crohn's Disease or Ulcerative Colitis (MK-7240-011),RECRUITING,Merck Sharp & Dohme LLC,1380,2026-05-19
NCT05486572,Preventing Liver Cancer Mortality Through Imaging With Ultrasound vs. MRI,RECRUITING,VA Office of Research and Development,4700,2026-06-17
NCT07531095,Study of Tarlatamab + ZL-1310 +/- Anti-programmed Death Ligand 1 (Anti-PD-L1) in Small Cell Lung Cancer (SCLC),RECRUITING,Amgen,160,2026-08-21
NCT05633654,Study of Sacituzumab Govitecan-hziy and Pembrolizumab Versus Treatment of Physician's Choice in Patients With Triple Negative Breast Cancer Who Have Residual Invasive Disease After Surgery and Neoadjuvant Therapy (ASCENT-05/AFT-65 OptimICE-RD/GBG 119/NSABP B-63),RECRUITING,Gilead Sciences,1514,2026-07-15
NCT07425496,To Study Ocular Outflow Dynamics of the Eye Using Intraoperative Tonographic Biometry and Assess Its Predictive Value in Improving Postoperative Outcomes.,RECRUITING,The New York Eye & Ear Infirmary,150,2026-02-24
NCT04124120,Comparison of the Outcomes of Single vs Multiple Arterial Grafts in Women,RECRUITING,Weill Medical College of Cornell University,2300,2026-04-01
NCT07507643,A Study of Methylprednisolone in People Having Liver Surgery,RECRUITING,Memorial Sloan Kettering Cancer Center,750,2026-07-07
NCT06051617,Seladelpar in Subjects With Primary Biliary Cholangitis (PBC) and Compensated Cirrhosis,RECRUITING,Gilead Sciences,318,2026-08-11
NCT06995677,"Efficacy and Safety of TYRA-300 in Participants With FGFR3 Altered Low Grade, Intermediate Risk Non-Muscle Invasive Bladder Cancer",RECRUITING,"Tyra Biosciences, Inc",90,2026-08-06
NCT06124157,"A Study Testing the Combination of Dasatinib or Imatinib to Chemotherapy Treatment With Blinatumomab for Children, Adolescents, and Young Adults With Philadelphia Chromosome Positive (Ph+) or ABL-Class Philadelphia Chromosome-Like (Ph-Like) B-cell Acute Lymphoblastic Leukemia (B-ALL)",RECRUITING,National Cancer Institute (NCI),222,2026-08-24
NCT07222800,Symbiotic-GI-03: A Study to Learn About the Study Medicine Called PF-08634404 in Combination With Chemotherapy in Adult Participants With Metastatic Colorectal Cancer,RECRUITING,Pfizer,800,2026-08-17
NCT07219602,A Study to Evaluate the Effect of Obicetrapib/Ezetimibe 10 mg Fixed-Dose Combination or Obicetrapib 10 mg Daily on Top of Guideline-Recommended Lipid-Lowering Therapy in Participants With Type 2 Diabetes and/or Metabolic Syndrome,RECRUITING,NewAmsterdam Pharma,300,2026-03-10
NCT03452202,Using tDCS in Speech-based Stroke Rehabilitation,RECRUITING,NYU Langone Health,24,2026-06-03
NCT07053800,"Obe-cel in Severe, Refractory Systemic Lupus Erythematosus (SLE) With Active Lupus Nephritis (LN)",RECRUITING,Autolus Limited,35,2026-08-24
NCT02781883,Clinical Trial of BP1001 in Combination With With Venetoclax Plus Decitabine in AML,RECRUITING,"Bio-Path Holdings, Inc.",108,2025-03-07
NCT05552157,A Study of Potential Disease Modifying Treatments in Individuals at Risk for or With a Type of Early Onset AD Caused by a Genetic Mutation,RECRUITING,Washington University School of Medicine,280,2026-07-27
NCT07013565,Chemoimmunotherapy for ALK+ Relapsed/Refractory ALCL,RECRUITING,New York Medical College,20,2026-05-20
NCT06686771,Radiotherapy to Block Oligoprogression In Metastatic Non-Small-Cell Lung Cancer,RECRUITING,Canadian Cancer Trials Group,320,2026-07-14
NCT07133984,STICH3C Cardiac Magnetic Resonance Observational Study,RECRUITING,Weill Medical College of Cornell University,200,2025-08-21
NCT04868604,64Cu-SAR-bisPSMA and 67Cu-SAR-bisPSMA for Identification and Treatment of PSMA-expressing Metastatic Castrate Resistant Prostate Cancer (SECuRE),RECRUITING,Clarity Pharmaceuticals Ltd,54,2026-05-06
NCT07710352,Low Gas Pressure vs Standard Gas Pressure in Robotic Surgery,RECRUITING,Weill Medical College of Cornell University,100,2026-08-20
NCT07554339,A Clinical Trial of Calderasib (MK-1084) and Durvalumab in People With Non-Small Cell Lung Cancer (MK-1084-015/KANDLELIT-015),RECRUITING,Merck Sharp & Dohme LLC,310,2026-08-21
NCT05614739,FORAGER-1: A Study of Vepugratinib (LY3866288; LOXO-435) in Participants With Cancer With a Change in a Gene Called FGFR3,RECRUITING,Eli Lilly and Company,677,2026-08-20
NCT04914507,A Prospective Analysis of Long-Term Clinical Outcomes and 3D Spine Growth in Anterior Vertebral Body Tethering,RECRUITING,Pediatric Spine Foundation,106,2023-11-15
NCT03851445,Lung-MAP: A Master Screening Protocol for Previously-Treated Non-Small Cell Lung Cancer,RECRUITING,SWOG Cancer Research Network,10000,2026-05-18
NCT06748222,E-Mindfulness Approaches for Living After Breast Cancer,RECRUITING,NRG Oncology,402,2026-08-04
NCT06399302,Prospective Multicenter Research on Donor and Recipient Management Strategies to Improve Lung Transplant Outcomes,RECRUITING,Duke University,2600,2026-08-07
NCT05390892,PREvention of CardIovascular and DiabEtic kidNey Disease in Type 2 Diabetes,RECRUITING,Brigham and Women's Hospital,6000,2026-04-13
NCT05201469,VIBRANT: VIB4920 for Active Lupus Nephritis,RECRUITING,National Institute of Allergy and Infectious Diseases (NIAID),74,2025-12-19
